PBMT,Factored,NMT
"To <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3123""/>je<mqm:endIssue id=""3123""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3124""/>dugoročno otprema iz skladišta<mqm:endIssue id=""3124""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""3125""/>do<mqm:endIssue id=""3125""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3126""/>srednje razine menadžmenta<mqm:endIssue id=""3126""/> tih skladišta.","To se otprema iz skladišta za dugoročno skladištenje<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3127""/> <mqm:endIssue id=""3127""/>sredje <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3128""/>management<mqm:endIssue id=""3128""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3129""/>ovih<mqm:endIssue id=""3129""/> skladišta.","Otpremljena je iz dugoročnih <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3579""/>skladišnih<mqm:endIssue id=""3579""/> skladišta od strane <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3580""/>srednje razine<mqm:endIssue id=""3580""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3581""/>upravljanja<mqm:endIssue id=""3581""/> ovim skladištima."
"<mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3130""/>Bio je voditelj Trakhtenberg<mqm:endIssue id=""3130""/> brojnih <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3131""/>programa Hali-Gali prije<mqm:endIssue id=""3131""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3132""/>puta<mqm:endIssue id=""3132""/>.","<mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3133""/>Bio je voditelj Trakhtenberg<mqm:endIssue id=""3133""/> mnogih programa prije Hali-Gali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3134""/>puta<mqm:endIssue id=""3134""/>.","Trakhtenberg je bio voditelj mnogih programa prije <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3582""/>hali-gali<mqm:endIssue id=""3582""/> vremena."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3135""/>Mali<mqm:endIssue id=""3135""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3136""/>može<mqm:endIssue id=""3136""/> kupiti?","Maloljetnik <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3137""/>može<mqm:endIssue id=""3137""/> kupiti?","Može li <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3583""/>mala<mqm:endIssue id=""3583""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3584""/>kupnja<mqm:endIssue id=""3584""/>"
"Rosbalt nastavlja projekt <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3138""/>avangarde u Sankt Peterburgu<mqm:endIssue id=""3138""/>, posvećen mještanima koji su <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3139""/>pred nama<mqm:endIssue id=""3139""/>, u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3140""/>avangardnekulture<mqm:endIssue id=""3140""/>Â i umjetnosti.","Rosbalt nastavlja projekt <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3141""/>Sankt Peterburga Avantgarde<mqm:endIssue id=""3141""/>, posvećen mještanima koji su <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3142""/>pred nama<mqm:endIssue id=""3142""/>, u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3143""/>avangardnekulture<mqm:endIssue id=""3143""/>Â i umjetnosti.","Rosbalt nastavlja projekt Sankt Peterburg <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3586""/>Avantom<mqm:endIssue id=""3586""/>, posvećen stanovnicima koji su <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3585""/>ispred<mqm:endIssue id=""3585""/>, u avangardnoj kulturi i umjetnosti."
"Dok <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""Project Manager"" id=""3144""/>su<mqm:endIssue id=""3144""/> egipatski predsjednik <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""Project Manager"" id=""3145""/>je<mqm:endIssue id=""3145""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3146""/>razgovarao<mqm:endIssue id=""3146""/> jučer navečer na televiziji, demonstracije su u planu za danas popodne.","Dok je egipatski predsjednik <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""Project Manager"" id=""3147""/>je<mqm:endIssue id=""3147""/> govorio jučer navečer na televiziji, demonstracije su planirane za popodne.","Dok je egipatski predsjednik govorio jučer na televiziji, demonstracije su planirane za ovo popodne."
Početnici traže oružje na različite načine.,Početnici traže oružje na različite načine.,Početnici traže oružje na različite načine.
"Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu razumjeli <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3148""/>kulture<mqm:endIssue id=""3148""/> jako dobro, ali su shvatili da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3149""/>se moraju držati<mqm:endIssue id=""3149""/> <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator1"" id=""3150""/>s<mqm:endIssue id=""3150""/> pravim stručnjacima.","Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu shvaćali kulturu vrlo dobro, ali su shvatili da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3151""/>su morali <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3152""/>zabiti<mqm:endIssue id=""3152""/><mqm:endIssue id=""3151""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator1"" id=""3153""/>s<mqm:endIssue id=""3153""/> pravim stručnjacima.","Pod pravim vladarima sve je bilo drugačije. Kraljevi možda nisu dobro razumjeli kulturu, ali su shvatili da se moraju držati <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator1"" id=""3588""/>s<mqm:endIssue id=""3588""/> pravimÂ stručnjacima."
"Mnogi su rođeni tamo: Nomy, Tequila Jazz, sjećam se kad je <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3154""/>doveo<mqm:endIssue id=""3154""/> tamo Shnur s <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3155""/>Van Gogh 's EAR <mqm:endIssue id=""3155""/>projekta.","Mnogi su rođeni tamo: Nomy, Tequila Jazz, sjećam se kad je <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3156""/>dopremio<mqm:endIssue id=""3156""/> Shnur s <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3157""/>Van Gogh je Bubaprojekt<mqm:endIssue id=""3157""/>.","Mnogi su se rodili tamo: Nomy, Tequila Jazz, sjećam se kada je <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3589""/>shnur<mqm:endIssue id=""3589""/> doveden tamo sa ""<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3590""/>Ear projektom<mqm:endIssue id=""3590""/>""."
"Ulaz je besplatan, a prilozi su strogoÂ <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3158""/>zabranjeno<mqm:endIssue id=""3158""/>.","Ulaz je besplatan, a doprinosi su strogo <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3159""/>zabranjeno<mqm:endIssue id=""3159""/>.","Ulaz je besplatan, a doprinosi<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3591""/> <mqm:endIssue id=""3591""/>nisu dozvoljeni."
"""Tamo smo uzgajali <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3160""/>pilići<mqm:endIssue id=""3160""/> dvaput, a onda <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3161""/>je prestala<mqm:endIssue id=""3161""/>, jer je nemoguće raditi s njima"", kaže Vladimir Sychev, potvrđujući neuspjeh eksperimenta s pilićima u svemiru.","""Tamo smo uzgajali piliće dva puta, i onda <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3162""/>je prestalo<mqm:endIssue id=""3162""/>, jer je nemoguće raditi s njima,"" kaže Vladimir Sychev, <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator1"" id=""3163""/>potvrđuje<mqm:endIssue id=""3163""/> neuspjeh eksperimenta s pilićima u <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3164""/>prostoru<mqm:endIssue id=""3164""/>.","""Uzgajali <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3592""/>smo<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3593""/> <mqm:endIssue id=""3593""/><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3594""/>dva puta<mqm:endIssue id=""3594""/> dva puta, a onda <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3595""/>se zaustavio<mqm:endIssue id=""3595""/><mqm:endIssue id=""3592""/>, jer je nemoguće raditi s njima,"" kaže Vladimir Sychev, potvrđujući neuspjeh eksperimenta s <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3596""/>komadima<mqm:endIssue id=""3596""/> u svemiru."
"Nažalost, ne postoji <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3165""/>čudo<mqm:endIssue id=""3165""/> recept za sprječavanje raka.","Nažalost, ne postoji <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3166""/>čudo<mqm:endIssue id=""3166""/> recept za sprječavanje raka.","Nažalost, nema čudotvornog recepta za sprječavanje raka."
"Najam automobila, ovisno o tipu automobila, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3167""/>troškova<mqm:endIssue id=""3167""/> od 37 (Hyundai Getz) do 188 (Audi A6 i Volvo S80) dolara dnevno.","Najam automobila, ovisno o tipu automobila, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3168""/>troškova<mqm:endIssue id=""3168""/> od 37 (Hyundai Getz) do 188 (Audi A6, Volvo S80) dolara dnevno.","Najam automobila, ovisno o vrsti automobila, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3597""/>troškovi<mqm:endIssue id=""3597""/> od 37 (Hyundai Getz) do 188 (Audi A6, Volvo S80) dolara na dan."
"Kao prvo, prema predstavnicima migracijske službe, to će omogućiti da se smanji broj ljudi koji pate od <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3169""/>ropstva rada<mqm:endIssue id=""3169""/>.","Kao prvo, prema riječima predstavnika migracijske službe, to će omogućiti da se smanji broj ljudi koji pate od <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3170""/>ropstva rada<mqm:endIssue id=""3170""/>.","Prije svega, prema predstavnicima <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3598""/>migracije<mqm:endIssue id=""3598""/>, to će omogućiti smanjenje broja ljudi koji pate od robnog ropstva."
"Počinje od tvrđave Antonije - Pretorijumu - gdje se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3171""/> <mqm:endIssue id=""3171""/>dogodio, i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3172""/>donosi<mqm:endIssue id=""3172""/> nam po ulicama Starog grada do crkve Sv. Groba na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3173""/>Golgotom<mqm:endIssue id=""3173""/> - mjesto raspeća, kamen od <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3174""/>Unction<mqm:endIssue id=""3174""/> i mjesto Isusova ukopa.","To počinje od tvrđave Antonije - Pretorijumu - gdje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3175""/>je<mqm:endIssue id=""3175""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3176""/> <mqm:endIssue id=""3176""/>presuda, i donosi nam po ulicama Starog grada do crkve Sv. Groba na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3177""/>Golgotom<mqm:endIssue id=""3177""/> - mjesto raspeća, kamen od <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3178""/>Unction<mqm:endIssue id=""3178""/> i mjesto Isusova ukopa.","Počinje <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3599""/>od strane<mqm:endIssue id=""3599""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3600""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3601""/>Antonia tvrđave<mqm:endIssue id=""3600""/> - Praetorium<mqm:endIssue id=""3601""/> - gdje se <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3602""/>odvija<mqm:endIssue id=""3602""/> presuda, i dovodi nas na ulice starog grada do crkve <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3603""/>Svetog Sepulchre na Golgothu<mqm:endIssue id=""3603""/> - mjesto razapinjanja, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3604""/>kamenova nedjela<mqm:endIssue id=""3604""/> i mjesto Isusovog pokopa."
"Za sada, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""3179""/>jednaod zanimljivih trikova<mqm:endIssue id=""3179""/>Â je da koristite drugu ruku kao<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""3180""/> <mqm:endIssue id=""3180""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3181""/>matrica<mqm:endIssue id=""3181""/>Â za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3182""/>slike<mqm:endIssue id=""3182""/>.","Za sada, jedan od zanimljivih trikova je da koristite drugu ruku kao <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3183""/>neka vrsta matrice<mqm:endIssue id=""3183""/> za sliku.","Za sada, jedan od zanimljivih trikova je iskoristiti drugu ruku kao neku vrstu matrice za sliku."
"""Nitko nije odgovorio na ovo pitanje"", kaže raketne i svemirske industrije <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3184""/>veteran, Vakhtang Vachnadze.<mqm:endIssue id=""3184""/>","""Nitko nije odgovorio na ovo pitanje,"" kaže raketne i svemirske industrije <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3185""/>veteran, Vakhtang Vachnadze<mqm:endIssue id=""3185""/>.","""Nitko nije odgovorio na ovo pitanje"", kaže raketni i svemirski<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3605""/> <mqm:endIssue id=""3605""/>veteran, <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3606""/>vakhtang vachnadze<mqm:endIssue id=""3606""/>."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3186""/>Gdje<mqm:endIssue id=""3186""/> <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""3187""/>je<mqm:endIssue id=""3187""/> oružje?","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""3188""/>Gdje<mqm:endIssue id=""3188""/> <mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""3189""/>je<mqm:endIssue id=""3189""/> to oružje?",Odakle dolaze oružja
"Možete preuzeti dokument (za sada na engleskom, <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator1"" id=""3190""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3191""/>francuskom<mqm:endIssue id=""3191""/> []<mqm:endIssue id=""3190""/> prijevod će biti dostupan uskoro) na ovoj adresi: Http: / / / / / FR ca.movember.com mens-health prostate-cancer-screening","Možete preuzeti dokument (na engleskom jeziku za vrijeme, [<mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator1"" id=""3192""/>Francuska<mqm:endIssue id=""3192""/>] prijevod će biti dostupan uskoro) na ovoj adresi: Http: / / / FR ca.movember.com prostate-cancer-screening mens-health / /","<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3607""/>Â <mqm:endIssue id=""3607""/>Na ovoj adresi http: / / ca.movember.com /<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3608""/>Â <mqm:endIssue id=""3608""/>"
"Muslimanske <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3193""/>Brothers<mqm:endIssue id=""3193""/>Â <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3194""/>tvrditi<mqm:endIssue id=""3194""/> da su značajno <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3195""/>smanjena u odnosu na ono što su bile<mqm:endIssue id=""3195""/> pod bivšim režimom.","Muslimanske <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3196""/>Brothers<mqm:endIssue id=""3196""/> tvrde da su značajno <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator1"" id=""3197""/>smanjeni u odnosu na ono što su bile<mqm:endIssue id=""3197""/> pod bivšim režimom.",Muslimanska braća tvrde da su znatno umanjene u odnosu na ono što su bile pod bivšim režimom.
"Na samom kraju života, <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3198""/>a<mqm:endIssue id=""3198""/> liječnici često <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3199""/>pribjegavaju palijativne sedacije<mqm:endIssue id=""3199""/>, koja je jednaka <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3200""/>stavljajućiÂ pacijenta spavati<mqm:endIssue id=""3200""/> do trenutka smrti, ili tek povremeno ili trajno.","Na samom kraju života, liječnici tada često <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3201""/>pribjegavaju palijativne sedacije<mqm:endIssue id=""3201""/>, što je ekvivalent <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator1"" id=""3202""/>za<mqm:endIssue id=""3202""/> stavljanje pacijenta na spavanje do trenutka smrti, ili <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator1"" id=""3203""/>sporadično<mqm:endIssue id=""3203""/> ili trajno.","Na samom kraju života, liječnici se često <mqm:startIssue type=""Mistranslation"" severity=""critical"" note="""" agent=""annotator1"" id=""3609""/>odmaraju<mqm:endIssue id=""3609""/> do palijativne sedacije, što je ekvivalentno<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3610""/> <mqm:endIssue id=""3610""/>da pacijent spava do vremena smrti, bilo sporadično ili trajno."
"PSG izgleda totalno <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""Project Manager"" id=""3204""/>ovisni<mqm:endIssue id=""3204""/> o podvizima <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3205""/>Zlatan Ibrahimović<mqm:endIssue id=""3205""/>.","PSG izgleda totalno <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""3206""/>ovisna<mqm:endIssue id=""3206""/> o podvizima <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""3207""/>Zlatan Ibrahimović<mqm:endIssue id=""3207""/>.",PSG se čini potpuno ovisnim o pothvatima Zlatan Ibrahimović.
"IzvanÂ <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3208""/>svojihÂ religijski aspekt<mqm:endIssue id=""3208""/>, tekst<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3209""/> <mqm:endIssue id=""3209""/>je jučer <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3210""/>je<mqm:endIssue id=""3210""/> jako <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3211""/>kritizirani<mqm:endIssue id=""3211""/> zbog široke ovlasti to <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3212""/>bespovratna sredstva<mqm:endIssue id=""3212""/> <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator1"" id=""3213""/>za<mqm:endIssue id=""3213""/>Â predsjednika Republike.","Izvan svog vjerskog aspekta, tekst <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator1"" id=""3214""/>je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3215""/>glasao<mqm:endIssue id=""3214""/> na<mqm:endIssue id=""3215""/> jučer je jako <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3216""/>kritizirani<mqm:endIssue id=""3216""/> zbog široke ovlasti da dodjeljuje Predsjednik Republike.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3611""/>Pred<mqm:endIssue id=""3611""/> svojim vjerskim aspektom, tekst koji je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3612""/>glasan<mqm:endIssue id=""3612""/> jučer je vrlo kritiziran zbog opsežnih ovlasti koje dodjeljuje predsjedniku Republike."
"Isto se odnosi i na <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3217""/>dostupno<mqm:endIssue id=""3217""/>, s <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3218""/>tom<mqm:endIssue id=""3218""/> razlikom da je <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator1"" id=""3219""/>dostupno<mqm:endIssue id=""3219""/> još jedno polje,<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3220""/> <mqm:endIssue id=""3220""/><mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3221""/>polje, koje moraju biti ""poremećeni""<mqm:endIssue id=""3221""/> za bozon<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3222""/> <mqm:endIssue id=""3222""/>.","Isto se odnosi i na <mqm:startIssue type=""Spelling"" severity=""critical"" note="""" agent=""annotator1"" id=""3223""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3224""/>Higgs-ovog<mqm:endIssue id=""3224""/><mqm:endIssue id=""3223""/> bozon, s razlikom da je neko drugo polje, <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3225""/>polje <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3226""/><mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3227""/>Higgs-ovog<mqm:endIssue id=""3227""/><mqm:endIssue id=""3226""/>, koja mora biti ""poremećeni<mqm:endIssue id=""3225""/>"" za bozon<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator1"" id=""3228""/> <mqm:endIssue id=""3228""/>.","Isto vrijedi i za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3613""/>higgsa Bosona<mqm:endIssue id=""3613""/>, s razlikom da je to drugo polje, higgsov <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3614""/>teren<mqm:endIssue id=""3614""/>, koji mora biti ""poremećen"" da se <mqm:startIssue type=""Spelling"" severity=""null"" note="""" agent=""annotator1"" id=""3615""/>Boson<mqm:endIssue id=""3615""/> pojavi."
"Ovi projekti, koji uključuju velik broj <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3229""/>lokalnih rada<mqm:endIssue id=""3229""/>, pomogli su da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3230""/>sadrže<mqm:endIssue id=""3230""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3231""/>pobuni<mqm:endIssue id=""3231""/>: Navodnjavanje, bunari, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator1"" id=""3232""/>pitku vodu, pošumljavanja<mqm:endIssue id=""3232""/>, voćke, zaštita tla i povećanje obradive površine.","Ovi projekti, koji uključuju velik broj lokalne radne snage, pomogli su da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator1"" id=""3233""/>sadrže<mqm:endIssue id=""3233""/> pobunjenike: Navodnjavanje, <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator1"" id=""3234""/>Wells<mqm:endIssue id=""3234""/>, <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator1"" id=""3235""/>pitke vode, pošumljavanja, voćke, zaštitu tla<mqm:endIssue id=""3235""/>Â i povećanje obradive površine.","Ovi projekti, koji uključuju veliki broj lokalnih radnika, pomogli su da se <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator1"" id=""3616""/>suzbiju pobuna<mqm:endIssue id=""3616""/>: Navodnjavanje, bunari, voda za piće, pošumljavanje, voćarstvo, zaštita tla i povećanje kultiviranih područja."
"Međutim, rizik ostaje.","Međutim, rizik ostaje.","Međutim, rizik ostaje."
