mt_out1,mt_out2,mt_out3
"Najam automobila, ovisno o tipu automobila, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2650""/>troškova <mqm:endIssue id=""2650""/>od 37 (Hyundai Getz) do 188 (Audi A6 i Volvo S80) dolara dnevno.","Najam automobila, ovisno o tipu automobila, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2651""/>troškova <mqm:endIssue id=""2651""/>od 37 (Hyundai Getz) do 188 (Audi A6, Volvo S80) dolara dnevno.","Najam automobila, ovisno o vrsti automobila, <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""3463""/>troškovi <mqm:endIssue id=""3463""/>od 37 (Hyundai Getz) do 188 (Audi A6, Volvo S80) dolara na dan."
"Kao prvo, prema predstavnicima migracijske službe, to će omogućiti da se smanji broj ljudi koji <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2652""/>pate <mqm:endIssue id=""2652""/>od <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2653""/>ropstva rada<mqm:endIssue id=""2653""/>.","Kao prvo, prema riječima predstavnika migracijske službe, to će omogućiti da se smanji broj ljudi koji <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2654""/>pate <mqm:endIssue id=""2654""/>od<mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2655""/> ropstva rada<mqm:endIssue id=""2655""/>.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3464""/>Prije svega<mqm:endIssue id=""3464""/>, prema predstavnicima<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3465""/> <mqm:endIssue id=""3465""/>migracije, to će omogućiti smanjenje broja ljudi koji pate od <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3466""/>robnog <mqm:endIssue id=""3466""/>ropstva."
"Počinje od tvrđave <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2656""/>Antonije<mqm:endIssue id=""2656""/> - <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2657""/>Pretorijumu <mqm:endIssue id=""2657""/>- gdje se<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2658""/> <mqm:endIssue id=""2658""/>dogodio, i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2659""/>donosi nam<mqm:endIssue id=""2659""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2660""/>po <mqm:endIssue id=""2660""/>ulicama Starog grada do crkve Sv. Groba na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2661""/>Golgotom <mqm:endIssue id=""2661""/>- mjesto raspeća, kamen od <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2662""/>Unction <mqm:endIssue id=""2662""/>i mjesto Isusova <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2663""/>ukopa<mqm:endIssue id=""2663""/>.","To počinje od tvrđave <mqm:startIssue type=""Case"" severity=""null"" note=""To na početku ove rečenice nije potrebno u prijevodu, ali nije Addition jer postoji u izvorniku"" agent=""annotator2"" id=""2664""/>Antonije <mqm:endIssue id=""2664""/>- <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2665""/>Pretorijumu <mqm:endIssue id=""2665""/>- gdje je<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2666""/> <mqm:endIssue id=""2666""/>presuda, i <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2667""/>donosi nam<mqm:endIssue id=""2667""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2668""/>po <mqm:endIssue id=""2668""/>ulicama Starog grada do crkve Sv. Groba na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2669""/>Golgotom <mqm:endIssue id=""2669""/>- mjesto raspeća, kamen od <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2670""/>Unction <mqm:endIssue id=""2670""/>i mjesto Isusova <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2671""/>ukopa<mqm:endIssue id=""2671""/>.","Počinje <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3467""/>od strane<mqm:endIssue id=""3467""/> <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3468""/>Antonia <mqm:endIssue id=""3468""/>tvrđave - Praetorium - gdje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3469""/>se odvija<mqm:endIssue id=""3469""/> presuda, i dovodi nas <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3470""/>na<mqm:endIssue id=""3470""/> ulice starog grada do crkve Svetog <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""3471""/>Sepulchre <mqm:endIssue id=""3471""/>na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3472""/>Golgothu <mqm:endIssue id=""3472""/>- mjesto razapinjanja, <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3473""/>kamenova nedjela<mqm:endIssue id=""3473""/> i mjesto Isusovog pokopa."
"Za sada, <mqm:startIssue type=""Gender"" severity=""critical"" note="""" agent=""annotator2"" id=""2672""/>jedna <mqm:endIssue id=""2672""/>od zanimljivih trikova je da koristite drugu ruku kao <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2673""/>matrica<mqm:endIssue id=""2673""/> za slike.","Za sada, jedan od zanimljivih trikova je da koristite drugu ruku kao <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2674""/>neka vrsta<mqm:endIssue id=""2674""/> matrice za sliku.","Za sada, jedan od zanimljivih trikova je <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""3474""/>iskoristiti <mqm:endIssue id=""3474""/>drugu ruku kao <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3475""/>neku <mqm:endIssue id=""3475""/>vrstu matrice za sliku."
"""Nitko nije odgovorio na ovo pitanje"", kaže raketne i svemirske industrije <mqm:startIssue type=""Word order"" severity=""critical"" note="""" agent=""annotator2"" id=""2675""/>veteran<mqm:endIssue id=""2675""/>, Vakhtang Vachnadze.","""Nitko nije odgovorio na ovo pitanje,"" kaže raketne i svemirske industrije <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2676""/>veteran<mqm:endIssue id=""2676""/>, Vakhtang Vachnadze.","""Nitko nije odgovorio na ovo pitanje"", kaže raketni i svemirski<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3476""/> <mqm:endIssue id=""3476""/>veteran, vakhtang vachnadze."
,Odakle dolaze oružja,Odakle dolazi oružje
"Možete preuzeti dokument (za sada na engleskom, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2677""/>francuskom <mqm:endIssue id=""2677""/>[] prijevod <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2678""/>će <mqm:endIssue id=""2678""/>biti dostupan uskoro) na ovoj adresi: <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2679""/>Http: / / / / / FR ca.movember.com mens-health prostate-cancer-screening<mqm:endIssue id=""2679""/>","Možete preuzeti dokument (na engleskom jeziku <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2680""/>za vrijeme<mqm:endIssue id=""2680""/>, [<mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2681""/>Francuska<mqm:endIssue id=""2681""/>] prijevod <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2682""/>će <mqm:endIssue id=""2682""/>biti dostupan uskoro) na ovoj adresi: <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2683""/>Http: / / / FR ca.movember.com prostate-cancer-screening mens-health / /<mqm:endIssue id=""2683""/>","<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3477""/>Na ovoj adresi http: / / ca.movember.com /<mqm:endIssue id=""3477""/>"
"Muslimanske <mqm:startIssue type=""Untranslated"" severity=""null"" note=""pogrešno prebačen URL označen kao mistranslation"" agent=""annotator2"" id=""2684""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2685""/>Brothers <mqm:endIssue id=""2685""/><mqm:endIssue id=""2684""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2686""/>tvrditi<mqm:endIssue id=""2686""/> da su značajno smanjena u odnosu na ono što su bile pod bivšim režimom.","Muslimanske <mqm:startIssue type=""Untranslated"" severity=""null"" note=""pogrešno prenesen URL, nije striktno mistranslation, ali nema se čime označiti u ovom tagsetu"" agent=""annotator2"" id=""2687""/>Brothers <mqm:endIssue id=""2687""/>tvrde da su značajno smanjeni u odnosu na ono što su <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2688""/>bile <mqm:endIssue id=""2688""/>pod bivšim režimom.","<mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3478""/>Muslimanska braća<mqm:endIssue id=""3478""/> tvrde da su znatno <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3479""/>umanjene <mqm:endIssue id=""3479""/>u odnosu na ono što su <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3480""/>bile<mqm:endIssue id=""3480""/> pod bivšim režimom."
"Na samom kraju života, <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2689""/>a<mqm:endIssue id=""2689""/><ins>Â </ins><del> </del>liječnici često pribjegavaju <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2690""/>palijativne sedacije<mqm:endIssue id=""2690""/>, koja je jednaka <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2691""/>stavljajući <mqm:endIssue id=""2691""/>pacijenta <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2692""/>spavati <mqm:endIssue id=""2692""/>do trenutka smrti, ili tek povremeno ili trajno.","Na samom kraju života, liječnici tada često pribjegavaju <mqm:startIssue type=""Agreement"" severity=""null"" note=""tada, nepotrebno, a nije addition"" agent=""annotator2"" id=""2693""/>palijativne sedacije<mqm:endIssue id=""2693""/>, što je ekvivalent za stavljanje pacijenta na spavanje do trenutka smrti, ili sporadično ili trajno.","Na samom kraju života, liječnici se često <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3481""/>odmaraju doÂ <mqm:endIssue id=""3481""/>palijativne sedacije, što je ekvivalentno <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""3482""/>da <mqm:endIssue id=""3482""/>pacijent spava do vremena smrti, bilo sporadično ili trajno."
"PSG izgleda totalno <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2694""/>ovisni<mqm:endIssue id=""2694""/> o podvizima <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2695""/>Zlatan Ibrahimović<mqm:endIssue id=""2695""/>.","PSG izgleda totalno <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2696""/>ovisna <mqm:endIssue id=""2696""/>o podvizima <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2697""/>Zlatan Ibrahimović<mqm:endIssue id=""2697""/>.","PSG se čini potpuno ovisnim o pothvatima <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3483""/>Zlatan Ibrahimović<mqm:endIssue id=""3483""/>."
"Izvan <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2698""/>svojih<mqm:endIssue id=""2698""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2699""/>religijski aspekt<mqm:endIssue id=""2699""/>, tekst je jučer je jako kritizirani zbog<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2700""/> široke ovlasti<mqm:endIssue id=""2700""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2701""/>to bespovratna sredstva<mqm:endIssue id=""2701""/> <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2702""/>za<mqm:endIssue id=""2702""/> predsjednika Republike.","Izvan svog vjerskog aspekta, tekst <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2703""/>je glasao na<mqm:endIssue id=""2703""/><ins>Â </ins><del> </del>jučer <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2704""/>je <mqm:endIssue id=""2704""/>jako kritizirani zbog <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2705""/>široke ovlasti<mqm:endIssue id=""2705""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2706""/>da dodjeljuje<mqm:endIssue id=""2706""/> Predsjednik Republike.","<mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3484""/>Pred <mqm:endIssue id=""3484""/>svojim vjerskim aspektom, tekst koji je <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3485""/>glasan <mqm:endIssue id=""3485""/>jučer <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3486""/>je <mqm:endIssue id=""3486""/>vrlo kritiziran zbog opsežnih ovlasti koje dodjeljuje predsjedniku Republike."
"Isto se odnosi i na <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2707""/>dostupno<mqm:endIssue id=""2707""/>, s tom razlikom da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2708""/>je dostupno<mqm:endIssue id=""2708""/> još jedno polje,<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2709""/> <mqm:endIssue id=""2709""/>polje, koje <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2710""/>moraju<mqm:endIssue id=""2710""/> biti ""<mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2711""/>poremećeni<mqm:endIssue id=""2711""/>"" <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""2712""/>za<mqm:endIssue id=""2712""/><mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2713""/><ins>Â </ins><mqm:endIssue id=""2713""/><del> </del>bozon.","Isto se odnosi i na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2714""/>Higgs-ovog<mqm:endIssue id=""2714""/> bozon, s razlikom da je <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2715""/>neko<mqm:endIssue id=""2715""/> drugo polje, polje <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2716""/>Higgs-ovog<mqm:endIssue id=""2716""/>, koja mora biti ""<mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2717""/>poremećeni<mqm:endIssue id=""2717""/>""<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2718""/> <mqm:endIssue id=""2718""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2719""/>za bozon<mqm:endIssue id=""2719""/>.","Isto vrijedi i za <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3487""/>higgsa Bosona<mqm:endIssue id=""3487""/>, s razlikom da je <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3488""/>to <mqm:endIssue id=""3488""/>drugo polje, higgsov <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3489""/>teren<mqm:endIssue id=""3489""/>, koji mora biti ""<mqm:startIssue type=""Fluency"" severity=""null"" note="""" agent=""annotator2"" id=""3490""/>poremećen<mqm:endIssue id=""3490""/>"" da seÂ <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""3491""/>Boson <mqm:endIssue id=""3491""/>pojavi."
"Ovi projekti, koji uključuju velik <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2720""/>broj <mqm:endIssue id=""2720""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2721""/>lokalnih<mqm:endIssue id=""2721""/> rada, pomogli su da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2722""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2723""/>sadrže<mqm:endIssue id=""2723""/><mqm:endIssue id=""2722""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2724""/>pobuni<mqm:endIssue id=""2724""/>: Navodnjavanje, bunari, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2725""/>pitku vodu<mqm:endIssue id=""2725""/>, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2726""/>pošumljavanja<mqm:endIssue id=""2726""/>, voćke, zaštita tla i povećanje <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2727""/>obradive površine<mqm:endIssue id=""2727""/>.","Ovi projekti, koji uključuju velik broj lokalne radne snage, pomogli su da <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2728""/>sadrže<mqm:endIssue id=""2728""/> pobunjenike: Navodnjavanje, <mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2729""/>Wells<mqm:endIssue id=""2729""/>, <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2730""/>pitke vode<mqm:endIssue id=""2730""/>, <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2731""/>pošumljavanja<mqm:endIssue id=""2731""/>, voćke, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2732""/>zaštitu tla<mqm:endIssue id=""2732""/> i povećanje <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2733""/>obradive površine<mqm:endIssue id=""2733""/>.","Ovi projekti, koji uključuju veliki broj lokalnih radnika, pomogli su da se <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3492""/>suzbiju <mqm:endIssue id=""3492""/>pobuna: Navodnjavanje, bunari, voda za piće, pošumljavanje, voćarstvo, zaštita tla i povećanje kultiviranih područja."
"Međutim, rizik ostaje.","Međutim, rizik ostaje.","Međutim, rizik ostaje."
"Kirill Miller je izniman čovjek Sankt Peterburga <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2734""/>avangarde <mqm:endIssue id=""2734""/>od kasnih 80 je početkom 90-tih.","Kirill Miller je izuzetan čovjek Petrogradu <mqm:startIssue type=""Grammar"" severity=""null"" note="""" agent=""annotator2"" id=""2735""/>avangardne <mqm:endIssue id=""2735""/>krajem 80 je početkom 90.","Kiril Miller je izvanredan čovjek Sankt <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3493""/>Peterburškog <mqm:endIssue id=""3493""/>avangarde kasnih 80, ranih 90-tih."
"Steven Bathiche iz <mqm:startIssue type=""Part of speech"" severity=""null"" note=""polazna rečenica sadrži pogrešku pa nisam označavao pogreške u prijevodu koje iz toga proizlaze"" agent=""annotator2"" id=""2736""/>Redmonda <mqm:endIssue id=""2736""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2737""/>laboratorij <mqm:endIssue id=""2737""/>stvorio<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2738""/> <mqm:endIssue id=""2738""/><mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2739""/>touch <mqm:endIssue id=""2739""/>senzor s <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2740""/>uređenom prerade<mqm:endIssue id=""2740""/> od 1 do 100 ms, a <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2741""/>moderna <mqm:endIssue id=""2741""/>serijski senzori su bliže potonjem <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2742""/>indikator <mqm:endIssue id=""2742""/>(60-100).","Steven Bathiche iz <mqm:startIssue type=""Part of speech"" severity=""null"" note=""pogreška u polaznom tekstu late 80s eary 90s"" agent=""annotator2"" id=""2743""/>Redmonda <mqm:endIssue id=""2743""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2744""/>laboratorij <mqm:endIssue id=""2744""/>stvorio je <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2745""/>dodir <mqm:endIssue id=""2745""/>senzora s reguliranom <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2746""/>obrade <mqm:endIssue id=""2746""/>kašnjenja od 1 do 100 ms, dok moderni serijski senzori <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2747""/>su <mqm:endIssue id=""2747""/>bliže potonjem <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2748""/>pokazatelj <mqm:endIssue id=""2748""/>(60-100).","Steven Bathiche iz našeg <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3494""/>Redmonda<mqm:endIssue id=""3494""/> laboratorija stvorio je dodirni senzor s reguliranom <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3495""/>obradom <mqm:endIssue id=""3495""/>obrade od 1 do 100 ms, dok su moderni serijski senzori bliži potonjem indikatoru (60-100)."
"<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2749""/>Nas <mqm:endIssue id=""2749""/>je mjesto gdje je Isus <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2750""/>izveo <mqm:endIssue id=""2750""/>svoju <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2751""/>čaroliju<mqm:endIssue id=""2751""/>: <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2752""/>Je<mqm:endIssue id=""2752""/> pretvorio vodu u vino na vjenčanju, hodao po vodi, smirio oluju, i <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2753""/>pune <mqm:endIssue id=""2753""/>mreže.","Galileje je mjesto gdje je Isus <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2754""/>izveo <mqm:endIssue id=""2754""/>svoju magiju: Pretvorio vodu u vino na vjenčanju, hodao po vodi, smirio oluju, i <mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2755""/>pune <mqm:endIssue id=""2755""/>mreže.","<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""3496""/>Galilee <mqm:endIssue id=""3496""/>je mjesto gdje je Isus <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3497""/>izveo<mqm:endIssue id=""3497""/> svoju magiju: <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3498""/>Pretvorila <mqm:endIssue id=""3498""/>vodu u vino na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3499""/>vjencanje<mqm:endIssue id=""3499""/>, hodao po vodi, <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3500""/>smirila <mqm:endIssue id=""3500""/>oluju i <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""3501""/>napunila <mqm:endIssue id=""3501""/>mreže."
"Od 2011. godine, desetak članica <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2756""/>usvojilo<mqm:endIssue id=""2756""/> zakone koji zahtijevaju<mqm:startIssue type=""Missing"" severity=""null"" note="""" agent=""annotator2"" id=""2757""/> <mqm:endIssue id=""2757""/>birača <mqm:startIssue type=""Missing"" severity=""null"" note="""" agent=""annotator2"" id=""2758""/>kako <mqm:endIssue id=""2758""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2759""/>bi dokazali<mqm:endIssue id=""2759""/> da su američki građani.","Od 2011. godine, <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2760""/>tucet <mqm:endIssue id=""2760""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2761""/>članice <mqm:endIssue id=""2761""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2762""/>su <mqm:endIssue id=""2762""/>usvojile zakone koji zahtijevaju<mqm:startIssue type=""Missing"" severity=""null"" note="""" agent=""annotator2"" id=""2763""/> <mqm:endIssue id=""2763""/>biračima <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2764""/>dokazati <mqm:endIssue id=""2764""/>da su američki građani.","Od 2011., desetak država je donijelo zakone koji zahtijevaju da glasači dokažu da su američki građani."
"Postoje samo <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2765""/>dvije stvarne planete koje<mqm:endIssue id=""2765""/><ins>Â </ins><del> </del>možete istražiti <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2766""/>čak i<mqm:endIssue id=""2766""/> hipotetski.","Postoje samo dva stvarna planeta koji se mogu istražiti <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2767""/>čak i<mqm:endIssue id=""2767""/> hipotetički.","Postoje samo dva stvarna planeta koja se mogu istražiti <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3502""/>i hipotetski<mqm:endIssue id=""3502""/>."
I to nije sve.,I to nije sve.,I to nije sve.
"Troškovi<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2768""/> <mqm:endIssue id=""2768""/>najma bicikla 15 šekela dnevno.","Najam bicikla <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""Project Manager"" id=""2769""/>košta <mqm:endIssue id=""2769""/>15 šekela dnevno.",Najam bicikla je 15 šilinga na dan.
